GVKEY,Company Name,Ticker,CIK,Is the folder present?,,
1356,ALCOA INC,AA.3,,No,,
1078,ABBOTT LABORATORIES,ABT,1800,Yes,,
30697,AFFILIATED COMPUTER SERVICES,ACS,2135,Yes,,
1161,ADVANCED MICRO DEVICES,AMD,2488,Yes,,
1209,AIR PRODUCTS & CHEMICALS INC,APD,2969,No,,
1619,AMSOUTH BANCORPORATION,ASO.1,3133,No,,
1240,ALBERTSON'S INC,ABS.1,3333,No,,
1246,IKON OFFICE SOLUTIONS,IKN,3370,No,,
1253,ALEXANDER & ALEXANDER,AAL.1,3449,No,,
1279,ALLEGHENY ENERGY INC,AYE,3673,Yes,,
1327,SKYWORKS SOLUTIONS INC,SWKS,4127,Yes,,
28192,ARCONIC INC,ARNC,4281,No,,
1243,ALCAN INC,AL.1,4285,No,,
1359,ALZA CORP,AZA.1,4310,No,,
1365,AMAX INC,AMX.2,4363,No,,
1392,AMDAHL CORP,AMH.1,4427,No,,
1380,HESS CORP,HES,4447,Yes,,
1430,AMERICAN CYANAMID CO,ACY.1,4829,No,,
1440,AMERICAN ELECTRIC POWER CO,AEP,4904,Yes,,
1447,AMERICAN EXPRESS CO,AXP,4962,No,,
1449,AFLAC INC,AFL,4977,Yes,,
1465,AMERICAN GENERAL CORP,AGC.1,5103,Yes,,
1468,AMERICAN GREETINGS  -CL A,AM.1,5133,Yes,,
1478,WYETH,WYE,5187,No,,
1487,AMERICAN INTERNATIONAL GROUP,AIG,5272,Yes,,
12726,UNUM GROUP,UNM,5513,Yes,,
1581,AT&T CORP,T.2,5907,No,,
1608,AMP INC,AMP.2,6164,No,,
1045,AMERICAN AIRLINES GROUP INC,AAL,6201,Yes,,
1632,ANALOG DEVICES,ADI,6281,No,,
1678,APACHE CORP,APA,6769,Yes,,
1704,APPLIED MATERIALS INC,AMAT,6951,Yes,,
1722,ARCHER-DANIELS-MIDLAND CO,ADM,7084,Yes,,
1746,NORAM ENERGY CORP,CNP2,7314,No,,
9904,SOUTHWESTERN ENERGY CO,SWN,7332,Yes,,
1755,ARMCO INC,AS.,7383,No,,
1789,ASARCO INC,AR.2,7649,No,,
1831,ASSOCIATES FIRST CAP -CL A,AFS,7974,Yes,,
1891,AUTOMATIC DATA PROCESSING,ADP,8670,Yes,,
1913,AVERY DENNISON CORP,AVY,8818,Yes,,
1920,AVON PRODUCTS,AVP,8868,Yes,,
2159,BENEFICIAL CORP,BNL.1,8960,No,,
1988,BALL CORP,BLL,9389,No,,
1990,BALLY ENTERTAINMENT CORP,BLY,9435,No,,
2029,BANKERS TRUST CORP,BT.2,9749,No,,
2044,BARD (C.R.) INC,BCR,9892,Yes,,
2051,BARNETT BANKS INC,BBI.2,10012,No,,
13365,BARR PHARMACEUTICALS INC,BRL,10081,Yes,,
2080,BASSETT FURNITURE INDS,BSET,10329,No,,
2086,BAXTER INTERNATIONAL INC,BAX,10456,Yes,,
2111,BECTON DICKINSON & CO,BDX,10795,Yes,,
2154,BEMIS CO INC,BMS,11199,Yes,,
2189,BETHLEHEM STEEL CORP,3BHMSQ,11860,Yes,,
2255,BLACK & DECKER CORP,BDK,12355,Yes,,
2269,BLOCK H & R INC,HRB,12659,Yes,,
2285,BOEING CO,BA,12927,Yes,,
2290,OFFICEMAX INC,OMX,12978,Yes,,
2316,HEXION INC,0141A,13239,No,,
2393,BRIGGS & STRATTON,BGG,14195,No,,
2403,BRISTOL-MYERS SQUIBB CO,BMY,14272,Yes,,
2433,BNS HOLDING CO,BNSSA,14637,No,,
2435,BROWN FORMAN CORP,BF.B,14693,Yes,,
2436,CALERES INC,CAL,14707,No,,
2439,BROWNING-FERRIS INDS,BFI.,14827,No,,
2443,BRUNOS INC,BRNO20,14920,No,,
2444,BRUNSWICK CORP,BC,14930,No,,
6831,LUBYS INC,LUB,16099,No,,
2663,CAMPBELL SOUP CO,CPB,16732,Yes,,
2710,CONSTELLATION BRANDS,STZ,16918,Yes,,
2729,CAPITAL CITIES/ABC INC,CCB.2,17109,No,,
65351,PROVIDIAN CORP,PVN.2,17206,No,,
2817,CATERPILLAR INC,CAT,18230,Yes,,
13041,SYNOVUS FINANCIAL CORP,SNV,18349,Yes,,
2529,CBS INC,CBS.1,18366,No,,
5109,GENESCO INC,GCO,18498,No,,
2845,CENTEX CORP,CTX.2,18532,Yes,,
